answer_type,answer_key,answer_label,family_id,points
Q3,q3_biz_hr,HR,business_mgmt,170
Q3,q3_biz_hr,HR,psychology,70
Q3,q3_biz_hr,HR,social_work,45
Q3,q3_biz_mgmt,კომ.მართ.,business_mgmt,200
Q3,q3_biz_mgmt,კომ.მართ.,finance,70
Q3,q3_biz_mgmt,კომ.მართ.,marketing,45
Q3,q3_biz_mkt,მარკ.,marketing,200
Q3,q3_biz_mkt,მარკ.,business_mgmt,70
Q3,q3_biz_mkt,მარკ.,journalism,45
Q3,q3_biz_pm,პრ.მართ.,business_mgmt,200
Q3,q3_biz_pm,პრ.მართ.,info_sys,70
Q3,q3_biz_pm,პრ.მართ.,finance,45
Q3,q3_biz_sales,გაყ.,marketing,200
Q3,q3_biz_sales,გაყ.,business_mgmt,80
Q3,q3_biz_start,სტარტ.,business_mgmt,200
Q3,q3_biz_start,სტარტ.,marketing,70
Q3,q3_biz_start,სტარტ.,finance,45
Q3,q3_bld_arch,არქ.,architecture,200
Q3,q3_bld_arch,არქ.,civil_eng,70
Q3,q3_bld_int,ინტ.დიზ.,design_arts,170
Q3,q3_bld_int,ინტ.დიზ.,architecture,100
Q3,q3_bld_land,ლ.დიზ.,architecture,170
Q3,q3_bld_land,ლ.დიზ.,natural_sci,50
Q3,q3_bld_sust,მდგ.სივ.,architecture,160
Q3,q3_bld_sust,მდგ.სივ.,env_eng,80
Q3,q3_bld_sust,მდგ.სივ.,civil_eng,60
Q3,q3_bld_urb,ურბ.დ.,civil_eng,170
Q3,q3_bld_urb,ურბ.დ.,architecture,120
Q3,q3_bld_viz,3D ვიზ.,design_arts,160
Q3,q3_bld_viz,3D ვიზ.,architecture,120
Q3,q3_bld_viz,3D ვიზ.,software,45
Q3,q3_ch_edu,სკ.სწ.,education,200
Q3,q3_ch_edu,სკ.სწ.,psychology,70
Q3,q3_ch_edu,სკ.სწ.,social_work,45
Q3,q3_ch_inf,არაფ.განათ.,education,200
Q3,q3_ch_inf,არაფ.განათ.,social_work,70
Q3,q3_ch_mgmt,გან.მართ.,education,200
Q3,q3_ch_mgmt,გან.მართ.,business_mgmt,70
Q3,q3_ch_psych,ბ.ფს.,psychology,200
Q3,q3_ch_psych,ბ.ფს.,education,80
Q3,q3_ch_spec,სპეც.განათ.,education,200
Q3,q3_ch_spec,სპეც.განათ.,psychology,80
Q3,q3_ch_spec,სპეც.განათ.,social_work,60
Q3,q3_ch_youth,ახ.პრ.,social_work,200
Q3,q3_ch_youth,ახ.პრ.,education,80
Q3,q3_ch_youth,ახ.პრ.,psychology,45
